,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,169.10253900000043,52.82031300000017,183.7177729999994,216.6665039999998,137.56396500000028,126.41015599999992,120.12841800000024,135.38476599999922,139.87158199999976,144.48730499999965,190.0,124.61523400000078,181.79492200000004,130.89746099999957
1,163.9741210000002,56.53857400000015,173.9741210000002,202.94873000000007,130.76904300000024,122.05126999999993,117.05126999999993,129.87158199999976,138.3334960000002,129.3588869999994,178.84619099999964,124.87158199999976,173.9741210000002,124.10253900000043
2,157.56396500000028,52.69238299999961,169.23095699999976,195.76904300000024,115.12841800000024,118.58984400000008,114.87158199999976,120.76904300000024,131.6665039999998,115.51269500000035,176.9228520000006,126.79492200000004,165.38476599999922,119.48730499999965
3,162.17968800000017,48.7177729999994,175.38476599999922,199.10253900000043,100.76904300000024,119.74365200000011,115.89746099999957,113.7177729999994,123.46142599999985,111.2822270000006,188.7177729999994,131.2822270000006,171.6665039999998,123.9741210000002
4,185.38476599999922,50.897460999999566,191.15380900000036,210.89746099999957,96.53857400000015,125.51269500000035,119.35888699999941,113.0771479999994,118.3334960000002,117.56396500000028,210.38476599999922,137.43603499999972,201.9228520000006,141.0258789999998
5,223.46142599999985,59.87158199999976,208.9741210000002,225.76904300000024,103.0771479999994,131.9228520000006,121.41015599999992,117.94873000000007,118.3334960000002,128.20507799999996,231.41015599999992,143.7177729999994,247.05126999999993,168.46142599999985
6,262.94873000000007,70.89746099999957,221.6665039999998,238.58984400000008,113.58984400000008,134.87158199999976,118.84619099999964,123.58984400000008,121.53857400000015,134.7436520000001,241.15380900000036,148.0771479999994,282.5639650000003,199.10253900000043
7,287.82031300000017,78.20507799999996,226.79492200000004,247.17968800000017,120.38476599999922,132.82031300000017,112.43603499999972,126.2822270000006,125.12841800000024,134.23095699999976,236.41015599999992,149.61523400000078,288.7177729999994,224.87158199999976
8,290.6411130000006,80.0,226.9228520000006,252.3076170000004,120.89746099999957,127.69238299999961,107.30761700000039,125.51269500000035,127.69238299999961,131.15380900000036,223.7177729999994,148.9741210000002,267.17968800000017,241.79492200000004
9,277.5639650000003,81.6665039999998,226.41015599999992,256.6665039999998,119.23095699999976,122.43603499999972,106.79492200000004,123.58984400000008,128.46142599999985,130.89746099999957,215.38476599999922,148.3334960000002,242.17968800000017,253.84619099999964
10,264.6152340000008,90.25634799999989,228.20507799999996,262.6923829999996,119.48730499999965,119.48730499999965,110.12841800000024,121.53857400000015,126.15380900000036,133.84619099999964,219.61523400000078,149.61523400000078,241.79492200000004,269.7436520000001
11,265.3847659999992,106.6665039999998,232.82031300000017,270.89746099999957,120.76904300000024,119.10253900000043,112.94873000000007,118.7177729999994,120.12841800000024,134.87158199999976,235.0,152.3076170000004,277.05126999999993,295.12841800000024
12,281.2822270000006,123.46142599999985,239.10253900000043,280.89746099999957,117.82031300000017,119.61523400000078,111.41015599999992,113.46142599999985,111.9228520000006,129.23095699999976,251.0258789999998,155.0,332.5639650000003,327.4360349999997
13,303.46142599999985,131.15380900000036,245.6411130000006,291.9228520000006,107.94873000000007,119.23095699999976,105.64111300000059,106.41015599999992,104.48730499999965,118.0771479999994,256.9228520000006,156.0258789999998,377.82031300000017,358.46142599999985
14,323.3334960000002,128.58984400000008,252.82031300000017,305.2563479999999,95.89746099999957,117.30761700000039,99.74365200000011,100.38476599999922,101.41015599999992,107.94873000000007,249.87158199999976,155.51269500000035,391.4101559999999,382.3076170000004
15,340.2563479999999,123.58984400000008,262.4360349999997,321.9228520000006,91.79492200000004,115.64111300000059,98.58984400000008,99.87158199999976,104.10253900000043,106.0258789999998,237.6923829999996,155.6411130000006,377.94873000000007,399.87158199999976
16,358.5898440000001,124.23095699999976,274.23095699999976,340.51269500000035,102.05126999999993,116.15380900000036,104.10253900000043,106.41015599999992,110.76904300000024,114.74365200000011,231.9228520000006,158.7177729999994,362.4360349999997,414.87158199999976
17,379.23095699999976,129.61523400000078,284.23095699999976,356.2822270000006,121.53857400000015,118.0771479999994,113.3334960000002,115.89746099999957,116.79492200000004,128.7177729999994,236.9228520000006,163.58984400000008,367.17968800000017,427.3076170000004
18,398.0771479999994,131.2822270000006,286.2822270000006,363.5898440000001,137.05126999999993,118.20507799999996,118.9741210000002,120.51269500000035,117.17968800000017,137.56396500000028,247.17968800000017,165.6411130000006,392.17968800000017,433.3334960000002
19,412.3076170000004,122.69238299999961,279.3588869999994,361.9228520000006,137.94873000000007,113.9741210000002,115.51269500000035,115.0,109.48730499999965,134.3588869999994,252.56396500000028,161.15380900000036,418.46142599999985,432.6923829999996
20,426.4101559999999,107.69238299999961,270.0,358.5898440000001,125.89746099999957,106.79492200000004,104.35888699999941,100.64111300000059,97.17968800000017,120.64111300000059,248.46142599999985,151.6665039999998,430.2563479999999,431.4101559999999
21,448.46142599999985,97.30761700000039,267.94873000000007,363.20507799999996,112.69238299999961,100.51269500000035,94.23095699999976,86.15380900000036,87.30761700000039,105.12841800000024,239.48730499999965,143.46142599999985,434.10253900000043,435.76904300000024
22,480.51269500000035,97.82031300000017,276.9228520000006,378.5898440000001,108.3334960000002,98.46142599999985,93.84619099999964,80.89746099999957,85.64111300000059,95.64111300000059,234.7436520000001,142.43603499999972,454.87158199999976,445.6411130000006
23,515.8974609999996,103.46142599999985,290.6411130000006,397.6923829999996,113.0771479999994,100.12841800000024,103.46142599999985,87.43603499999972,91.9228520000006,94.61523400000078,240.6411130000006,148.7177729999994,513.5898440000001,456.2822270000006
24,545.7690430000002,101.9228520000006,298.46142599999985,409.7436520000001,118.84619099999964,102.17968800000017,114.74365200000011,99.48730499999965,100.64111300000059,98.58984400000008,255.12841800000024,156.41015599999992,609.6152340000008,465.3847659999992
25,566.2822270000006,87.43603499999972,294.6152340000008,410.0,119.48730499999965,101.9228520000006,119.10253900000043,108.0771479999994,105.51269500000035,103.46142599999985,271.15380900000036,159.23095699999976,725.8974609999996,477.17968800000017
26,581.1538090000004,67.56396500000028,284.10253900000043,404.87158199999976,116.41015599999992,99.35888699999941,116.0258789999998,110.12841800000024,106.6665039999998,107.94873000000007,282.82031300000017,156.0258789999998,857.0512699999999,498.46142599999985
27,598.8461909999996,58.333496000000196,278.9741210000002,406.6665039999998,117.05126999999993,97.05126999999993,113.20507799999996,110.25634799999989,108.84619099999964,113.9741210000002,290.2563479999999,151.79492200000004,1032.6923829999996,532.9487300000001
28,626.794922,72.17968800000017,288.7177729999994,423.84619099999964,126.9228520000006,96.6665039999998,117.30761700000039,114.74365200000011,116.79492200000004,122.94873000000007,298.9741210000002,153.20507799999996,1308.4614259999998,578.4614259999998
29,665.6411130000006,105.89746099999957,311.4101559999999,453.5898440000001,141.6665039999998,97.82031300000017,127.43603499999972,123.7177729999994,128.46142599999985,132.3076170000004,313.84619099999964,162.43603499999972,1723.205078,626.794922
30,706.9228520000006,141.15380900000036,335.6411130000006,483.3334960000002,149.48730499999965,98.0771479999994,134.61523400000078,130.89746099999957,135.89746099999957,136.6665039999998,334.10253900000043,174.23095699999976,2254.615234000001,665.8974609999996
