,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,410.0,255.12841800000024,253.3334960000002,360.51269500000035,111.53857400000015,93.0771479999994,101.53857400000015,85.51269500000035,97.56396500000028,104.23095699999976,221.79492200000004,159.7436520000001,326.79492200000004,399.6152340000008
1,461.0258789999998,268.20507799999996,269.87158199999976,390.0,118.7177729999994,90.12841800000024,103.20507799999996,90.0,100.51269500000035,112.82031300000017,230.6411130000006,165.6411130000006,335.51269500000035,423.20507799999996
2,491.0258789999998,284.48730499999965,275.89746099999957,408.0771479999994,120.76904300000024,88.58984400000008,104.10253900000043,95.64111300000059,99.87158199999976,114.10253900000043,234.10253900000043,168.7177729999994,362.6923829999996,422.6923829999996
3,490.76904300000024,303.3334960000002,271.2822270000006,414.48730499999965,118.9741210000002,88.3334960000002,103.7177729999994,99.74365200000011,98.0771479999994,109.87158199999976,230.12841800000024,166.2822270000006,412.5639650000003,402.82031300000017
4,468.20507799999996,329.23095699999976,260.76904300000024,414.87158199999976,115.64111300000059,89.48730499999965,102.17968800000017,100.12841800000024,98.3334960000002,106.0258789999998,220.0,158.46142599999985,486.9228520000006,377.05126999999993
5,447.4360349999997,369.87158199999976,252.6923829999996,417.6923829999996,112.94873000000007,91.2822270000006,100.25634799999989,97.94873000000007,102.56396500000028,107.05126999999993,208.3334960000002,149.23095699999976,587.1796880000002,362.4360349999997
6,456.6665039999998,433.46142599999985,255.0,430.89746099999957,111.9228520000006,91.9228520000006,98.9741210000002,96.41015599999992,110.12841800000024,113.84619099999964,202.05126999999993,144.61523400000078,722.8203130000002,370.3847659999992
7,509.23095699999976,527.9487300000001,270.6411130000006,458.0771479999994,113.7177729999994,91.0258789999998,99.74365200000011,98.84619099999964,118.7177729999994,123.58984400000008,206.79492200000004,148.0771479999994,918.8461909999996,399.6152340000008
8,590.8974609999996,657.8203130000002,295.0,496.79492200000004,119.23095699999976,89.74365200000011,102.43603499999972,104.87158199999976,125.76904300000024,131.41015599999992,223.20507799999996,158.46142599999985,1211.410156,434.48730499999965
9,667.5639650000003,818.9741210000002,318.20507799999996,539.2309569999998,127.56396500000028,89.35888699999941,105.38476599999922,110.89746099999957,129.3588869999994,133.3334960000002,245.51269500000035,169.87158199999976,1623.8461909999996,453.9741210000002
10,709.6152340000008,999.4873049999997,331.79492200000004,576.794922,134.87158199999976,90.38476599999922,106.41015599999992,112.69238299999961,128.9741210000002,128.46142599999985,263.7177729999994,175.89746099999957,2136.9228520000006,447.05126999999993
11,712.3076170000004,1188.7177729999994,333.7177729999994,605.3847659999992,137.05126999999993,92.05126999999993,104.48730499999965,108.3334960000002,125.38476599999922,120.89746099999957,269.87158199999976,173.46142599999985,2678.205078,419.10253900000043
12,695.6411130000006,1384.4873049999997,329.7436520000001,627.4360349999997,133.20507799999996,93.58984400000008,101.53857400000015,100.64111300000059,119.87158199999976,115.76904300000024,265.2563479999999,164.87158199999976,3147.94873,387.17968800000017
13,687.0512699999999,1590.7690430000002,328.20507799999996,648.5898440000001,126.41015599999992,95.0,100.12841800000024,95.38476599999922,115.0,115.76904300000024,259.7436520000001,156.0258789999998,3467.1796879999993,368.0771479999994
14,702.9487300000001,1808.205078,334.87158199999976,674.1025390000004,122.94873000000007,96.2822270000006,102.17968800000017,96.6665039999998,113.20507799999996,118.9741210000002,264.7436520000001,152.43603499999972,3615.256348000001,369.48730499999965
15,739.4873049999997,2028.8461909999996,349.23095699999976,704.6152340000008,126.9228520000006,96.9228520000006,106.79492200000004,103.84619099999964,117.05126999999993,121.9228520000006,285.2563479999999,157.05126999999993,3633.589844,387.17968800000017
16,777.4360349999997,2240.8974609999996,366.2822270000006,736.5385740000002,138.3334960000002,96.53857400000015,111.6665039999998,113.20507799999996,127.17968800000017,124.23095699999976,315.3847659999992,167.82031300000017,3593.9741209999993,409.10253900000043
17,798.0771479999994,2437.3076170000004,380.6411130000006,764.3588869999994,152.17968800000017,95.76904300000024,115.12841800000024,120.25634799999989,141.0258789999998,129.61523400000078,343.7177729999994,179.61523400000078,3558.0771480000003,424.87158199999976
18,796.5385740000002,2618.8461909999996,389.6152340000008,785.0,162.56396500000028,95.25634799999989,117.05126999999993,123.0771479999994,153.7177729999994,140.6411130000006,361.53857400000015,187.56396500000028,3550.769043000001,432.3076170000004
19,783.7177729999994,2789.615234000001,394.87158199999976,799.6152340000008,166.2822270000006,95.38476599999922,118.0771479999994,121.53857400000015,160.12841800000024,155.6411130000006,368.7177729999994,190.51269500000035,3562.8203129999993,436.15380900000036
20,774.3588869999994,2950.0,399.3588869999994,811.4101559999999,164.87158199999976,96.0258789999998,118.20507799999996,117.30761700000039,158.58984400000008,168.7177729999994,372.4360349999997,189.87158199999976,3571.794922,441.79492200000004
21,774.8715819999998,3093.9741209999993,404.3588869999994,823.5898440000001,162.17968800000017,96.2822270000006,117.05126999999993,112.43603499999972,151.79492200000004,174.23095699999976,380.2563479999999,187.43603499999972,3563.4614260000008,449.48730499999965
22,779.4873049999997,3212.8203129999993,408.7177729999994,837.6923829999996,160.76904300000024,96.0258789999998,115.38476599999922,109.74365200000011,145.12841800000024,170.12841800000024,394.87158199999976,184.10253900000043,3540.384765999999,455.6411130000006
23,780.1284180000002,3299.743651999999,412.17968800000017,853.205078,161.41015599999992,96.0258789999998,115.0,111.79492200000004,142.82031300000017,161.2822270000006,412.82031300000017,180.2563479999999,3515.769043000001,457.3076170000004
24,774.8715819999998,3353.8461909999996,415.76904300000024,868.0771479999994,163.0771479999994,97.43603499999972,117.56396500000028,119.87158199999976,146.53857400000015,156.53857400000015,429.3588869999994,177.56396500000028,3500.8974609999996,456.6665039999998
25,769.4873049999997,3382.05127,421.0258789999998,879.1025390000004,164.87158199999976,99.23095699999976,122.82031300000017,132.05126999999993,154.23095699999976,161.53857400000015,441.9228520000006,176.79492200000004,3497.3076170000004,458.84619099999964
26,767.6923829999996,3397.8203129999993,426.79492200000004,883.4614259999998,166.15380900000036,99.61523400000078,127.94873000000007,142.43603499999972,161.41015599999992,172.94873000000007,450.6411130000006,176.9228520000006,3499.230956999999,464.7436520000001
27,766.1538090000004,3415.384765999999,430.76904300000024,881.2822270000006,167.56396500000028,98.20507799999996,129.7436520000001,145.89746099999957,164.61523400000078,181.79492200000004,456.6665039999998,176.0258789999998,3500.769043000001,470.12841800000024
