,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,115.89746099999957,108.20507799999996,105.38476599999922,99.35888699999941,66.2822270000006,100.89746099999957,99.87158199999976,105.89746099999957,107.94873000000007,75.64111300000059,124.74365200000011,115.38476599999922,121.0258789999998,113.3334960000002
1,121.41015599999992,112.82031300000017,108.58984400000008,108.9741210000002,79.74365200000011,106.6665039999998,104.87158199999976,108.0771479999994,105.64111300000059,69.10253900000043,135.89746099999957,120.38476599999922,122.30761700000039,107.82031300000017
2,143.20507799999996,139.87158199999976,122.69238299999961,125.0,122.94873000000007,131.0258789999998,128.7177729999994,118.7177729999994,111.2822270000006,85.76904300000024,156.9228520000006,140.2563479999999,140.0,107.17968800000017
3,165.12841800000024,169.3588869999994,137.94873000000007,137.43603499999972,160.51269500000035,155.2563479999999,157.17968800000017,131.41015599999992,120.76904300000024,111.6665039999998,173.9741210000002,162.17968800000017,157.82031300000017,111.2822270000006
4,171.15380900000036,181.2822270000006,142.05126999999993,136.2822270000006,165.38476599999922,162.17968800000017,171.79492200000004,137.56396500000028,127.82031300000017,127.17968800000017,174.23095699999976,169.87158199999976,160.38476599999922,110.51269500000035
5,157.17968800000017,170.0,131.9228520000006,121.6665039999998,139.61523400000078,148.0771479999994,163.3334960000002,133.84619099999964,128.3334960000002,122.69238299999961,156.41015599999992,157.43603499999972,146.0258789999998,104.61523400000078
6,133.3334960000002,146.2822270000006,116.0258789999998,103.20507799999996,108.7177729999994,123.58984400000008,138.9741210000002,123.58984400000008,122.94873000000007,103.7177729999994,131.2822270000006,134.23095699999976,125.89746099999957,103.9741210000002
7,117.05126999999993,128.0771479999994,105.64111300000059,93.20507799999996,99.48730499999965,106.53857400000015,117.05126999999993,114.48730499999965,116.41015599999992,86.53857400000015,115.38476599999922,117.17968800000017,116.0258789999998,110.51269500000035
8,120.38476599999922,128.46142599999985,106.79492200000004,97.94873000000007,119.23095699999976,110.64111300000059,113.20507799999996,112.56396500000028,113.84619099999964,85.51269500000035,119.10253900000043,117.82031300000017,125.64111300000059,113.7177729999994
9,138.9741210000002,144.23095699999976,116.79492200000004,112.94873000000007,150.51269500000035,133.7177729999994,127.30761700000039,118.20507799999996,116.79492200000004,101.0258789999998,137.6923829999996,132.82031300000017,147.82031300000017,108.46142599999985
10,154.10253900000043,157.94873000000007,126.6665039999998,125.89746099999957,164.23095699999976,157.43603499999972,142.82031300000017,124.74365200000011,121.41015599999992,117.30761700000039,153.3334960000002,146.53857400000015,163.20507799999996,104.35888699999941
11,149.7436520000001,154.10253900000043,126.9228520000006,126.2822270000006,146.0258789999998,162.94873000000007,143.84619099999964,125.0,121.9228520000006,116.9228520000006,151.53857400000015,144.3588869999994,156.6665039999998,108.58984400000008
12,129.61523400000078,135.51269500000035,116.6665039999998,115.0,110.25634799999989,148.20507799999996,130.0,118.3334960000002,117.43603499999972,98.7177729999994,135.89746099999957,127.43603499999972,132.6923829999996,113.58984400000008
13,113.7177729999994,120.51269500000035,106.41015599999992,103.84619099999964,87.94873000000007,127.94873000000007,117.17968800000017,112.05126999999993,112.94873000000007,78.84619099999964,124.48730499999965,112.69238299999961,112.05126999999993,111.2822270000006
14,117.43603499999972,123.7177729999994,107.43603499999972,103.84619099999964,96.2822270000006,117.43603499999972,119.87158199999976,113.3334960000002,113.46142599999985,74.10253900000043,129.7436520000001,114.87158199999976,111.9228520000006,107.43603499999972
15,136.0258789999998,141.9228520000006,119.23095699999976,113.58984400000008,124.35888699999941,119.48730499999965,136.9228520000006,121.2822270000006,118.46142599999985,86.79492200000004,146.79492200000004,132.56396500000028,130.76904300000024,110.25634799999989
16,151.9228520000006,159.7436520000001,129.7436520000001,121.2822270000006,146.79492200000004,126.79492200000004,153.46142599999985,128.84619099999964,123.3334960000002,105.12841800000024,159.61523400000078,149.7436520000001,152.94873000000007,114.74365200000011
17,151.9228520000006,164.23095699999976,128.84619099999964,117.94873000000007,148.46142599999985,132.3076170000004,155.0,129.23095699999976,123.58984400000008,115.38476599999922,158.3334960000002,152.17968800000017,163.20507799999996,112.17968800000017
18,137.56396500000028,154.87158199999976,118.84619099999964,106.15380900000036,134.3588869999994,134.48730499999965,140.2563479999999,122.56396500000028,119.35888699999941,112.43603499999972,145.6411130000006,139.61523400000078,157.94873000000007,106.2822270000006
19,123.0771479999994,142.82031300000017,110.25634799999989,97.69238299999961,122.05126999999993,136.41015599999992,121.6665039999998,114.74365200000011,114.74365200000011,101.79492200000004,134.10253900000043,124.74365200000011,145.6411130000006,107.17968800000017
20,123.20507799999996,142.05126999999993,110.51269500000035,101.0258789999998,125.25634799999989,141.53857400000015,114.35888699999941,112.17968800000017,114.23095699999976,94.23095699999976,135.2563479999999,121.0258789999998,140.38476599999922,112.94873000000007
21,140.2563479999999,156.41015599999992,118.20507799999996,113.9741210000002,141.2822270000006,149.23095699999976,122.94873000000007,116.2822270000006,118.9741210000002,95.89746099999957,150.0,131.15380900000036,150.12841800000024,112.82031300000017
22,160.51269500000035,173.46142599999985,126.15380900000036,125.0,151.53857400000015,152.05126999999993,135.38476599999922,121.79492200000004,124.48730499999965,101.6665039999998,166.41015599999992,144.7436520000001,168.20507799999996,106.53857400000015
23,166.15380900000036,175.76904300000024,126.9228520000006,124.48730499999965,139.48730499999965,141.53857400000015,135.0,121.15380900000036,123.58984400000008,100.89746099999957,169.48730499999965,147.6923829999996,180.76904300000024,104.87158199999976
24,155.2563479999999,160.89746099999957,119.48730499999965,113.0771479999994,109.74365200000011,119.61523400000078,119.35888699999941,113.0771479999994,115.0,90.51269500000035,156.41015599999992,137.3076170000004,182.3076170000004,110.0
25,146.9228520000006,147.82031300000017,111.9228520000006,102.30761700000039,87.43603499999972,101.6665039999998,105.0,105.51269500000035,106.0258789999998,81.79492200000004,141.53857400000015,127.17968800000017,184.3588869999994,112.69238299999961
26,161.79492200000004,157.6923829999996,115.0,103.84619099999964,93.3334960000002,101.6665039999998,110.64111300000059,107.56396500000028,106.0258789999998,87.82031300000017,142.3076170000004,133.20507799999996,201.79492200000004,109.10253900000043
27,199.61523400000078,191.15380900000036,130.2563479999999,117.69238299999961,121.79492200000004,117.17968800000017,136.2822270000006,119.74365200000011,116.6665039999998,107.43603499999972,161.0258789999998,156.53857400000015,235.0,107.69238299999961
28,237.56396500000028,226.2822270000006,145.6411130000006,131.6665039999998,145.51269500000035,132.3076170000004,161.0258789999998,131.6665039999998,128.84619099999964,124.74365200000011,181.9228520000006,180.38476599999922,267.82031300000017,112.69238299999961
29,253.3334960000002,240.51269500000035,146.41015599999992,133.3334960000002,143.46142599999985,134.61523400000078,161.79492200000004,132.56396500000028,131.9228520000006,124.48730499999965,188.58984400000008,186.41015599999992,284.3588869999994,115.0
30,244.87158199999976,230.76904300000024,131.9228520000006,122.43603499999972,119.10253900000043,126.2822270000006,135.6411130000006,121.0258789999998,123.0771479999994,106.41015599999992,179.23095699999976,172.6923829999996,284.23095699999976,109.10253900000043
31,231.79492200000004,215.0,115.89746099999957,111.15380900000036,95.89746099999957,119.10253900000043,100.64111300000059,106.41015599999992,109.61523400000078,84.74365200000011,166.53857400000015,154.7436520000001,281.2822270000006,104.23095699999976
32,238.20507799999996,217.17968800000017,113.3334960000002,112.05126999999993,95.76904300000024,122.17968800000017,82.05126999999993,99.48730499999965,102.30761700000039,76.41015599999992,166.2822270000006,152.3076170000004,292.05126999999993,109.23095699999976
33,274.87158199999976,249.10253900000043,127.82031300000017,126.79492200000004,123.0771479999994,135.0,92.69238299999961,105.0,106.6665039999998,89.23095699999976,184.61523400000078,173.7177729999994,323.9741210000002,116.9228520000006
34,330.2563479999999,300.51269500000035,151.0258789999998,145.76904300000024,160.2563479999999,149.3588869999994,124.61523400000078,118.9741210000002,119.61523400000078,116.15380900000036,213.7177729999994,210.0,368.7177729999994,116.2822270000006
35,377.5639650000003,343.84619099999964,169.61523400000078,155.89746099999957,179.7436520000001,153.84619099999964,154.7436520000001,131.41015599999992,130.89746099999957,138.84619099999964,237.05126999999993,241.0258789999998,406.2822270000006,110.76904300000024
36,394.6152340000008,355.2563479999999,173.3334960000002,150.6411130000006,164.7436520000001,141.9228520000006,161.2822270000006,133.84619099999964,131.79492200000004,140.89746099999957,240.51269500000035,249.87158199999976,418.84619099999964,110.51269500000035
37,381.6665039999998,335.0,161.53857400000015,134.48730499999965,125.12841800000024,120.25634799999989,141.79492200000004,125.25634799999989,122.17968800000017,122.17968800000017,224.3588869999994,235.2563479999999,406.4101559999999,113.9741210000002
38,361.0258789999998,307.05126999999993,144.10253900000043,119.61523400000078,90.51269500000035,103.7177729999994,112.82031300000017,113.46142599999985,110.76904300000024,99.23095699999976,202.94873000000007,212.43603499999972,386.4101559999999,112.05126999999993
39,354.48730499999965,296.6665039999998,134.3588869999994,116.15380900000036,83.9741210000002,101.9228520000006,95.0,107.56396500000028,106.41015599999992,89.35888699999941,191.9228520000006,199.48730499999965,376.79492200000004,106.41015599999992
40,365.12841800000024,308.0771479999994,137.43603499999972,123.9741210000002,102.05126999999993,110.38476599999922,95.51269500000035,109.23095699999976,109.48730499999965,94.10253900000043,194.87158199999976,201.41015599999992,380.12841800000024,107.30761700000039
